"Palabra","Palabra.1","Palabra.2","Palabra.3","Palabra.4","Palabra.5","Palabra.6","Palabra.7","Palabra.8","Palabra.9","Palabra.10","Palabra.11","Palabra.12","Palabra.13","Palabra.14","Palabra.15","Palabra.16","Palabra.17","Palabra.18","Palabra.19","Palabra.20"
"Diplomáticos","Diplomaticos","","","","","","","","","","","","","","","","","","",""
"Comunicación oral","Comunicación Oral","","","","","","","","","","","","","","","","","","",""
"Civilización griega","Civilización Griega","","","","","","","","","","","","","","","","","","",""
"Tauromaquia","Tauromaquía","","","","","","","","","","","","","","","","","","",""
"Geografía histórica","Geografia histórica","","","","","","","","","","","","","","","","","","",""
"Control social","Social control","","","","","","","","","","","","","","","","","","",""
"Banco Mundial","Banco mundial","","","","","","","","","","","","","","","","","","",""
"Tratado de Libre Comercio de América del Norte","Tratado de libre comercio de América del Norte","","","","","","","","","","","","","","","","","","",""
"Gastronomía","Gastronomia","","","","","","","","","","","","","","","","","","",""
"Reproducción humana","Reproduccion humana","","","","","","","","","","","","","","","","","","",""
"Bélgica","Belgica","","","","","","","","","","","","","","","","","","",""
"Transición demográfica","Transicion demográfica","","","","","","","","","","","","","","","","","","",""
"Redes de información","Redes de Información","","","","","","","","","","","","","","","","","","",""
"Poesía coreana","Poesia coreana","","","","","","","","","","","","","","","","","","",""
"Metáfora","Metafóra","","","","","","","","","","","","","","","","","","",""
"Jiménez, Juan Ramón","Jiménez, Juan Ramón,","","","","","","","","","","","","","","","","","","",""
"Análisis del impacto ambiental","Analisis del impacto ambiental","","","","","","","","","","","","","","","","","","",""
"Toma de decisiones","Decisiones, Toma de","","","","","","","","","","","","","","","","","","",""
"Organización de Países Exportadores de Petróleo","Organización de países exportadores de petróleo","","","","","","","","","","","","","","","","","","",""
"Mitología griega","Mítología griega","","","","","","","","","","","","","","","","","","",""
"Dante Alighieri","Dante, Alighieri","","","","","","","","","","","","","","","","","","",""
"Laicismo","Laïcismo","","","","","","","","","","","","","","","","","","",""
"Rivera, Diego","Rivera, Diego,","","","","","","","","","","","","","","","","","","",""
"Ritos y ceremonias fúnebres","Ritos y ceremonias funebres","","","","","","","","","","","","","","","","","","",""
"Quichés (Indios)","Quiches (Indios)","","","","","","","","","","","","","","","","","","",""
"Músicos","Musicos","","","","","","","","","","","","","","","","","","",""
"Legitimidad de los gobiernos","Legitimidad de los Gobiernos","","","","","","","","","","","","","","","","","","",""
"Filosofía y religión","Filosofia y religión","","","","","","","","","","","","","","","","","","",""
"Discriminación sexual en el trabajo","Discriminacion sexual en el trabajo","","","","","","","","","","","","","","","","","","",""
"Nordeste de Brasil","Brasil, Nordeste de","","","","","","","","","","","","","","","","","","",""
"Literatura latina","Literatura Latina","","","","","","","","","","","","","","","","","","",""
"Literatura colombiana","literatura colombiana","","","","","","","","","","","","","","","","","","",""
"Ensayos","Ensayos.","","","","","","","","","","","","","","","","","","",""
"Proverbios españoles","Proverbios, españoles.","","","","","","","","","","","","","","","","","","",""
"Camerún","Camerun","","","","","","","","","","","","","","","","","","",""
"Arquitectura doméstica","Arquitectura domestica","","","","","","","","","","","","","","","","","","",""
"Spain","Spain.","","","","","","","","","","","","","","","","","","",""
"Sagrado Corazón de Jesús","Sagrado corazón de Jesús","","","","","","","","","","","","","","","","","","",""
"Residuos industriales","Resíduos industriales","","","","","","","","","","","","","","","","","","",""
"Hábitos alimenticios","Habitos alimenticios","","","","","","","","","","","","","","","","","","",""
"Conservación de los recursos naturales","Conservación de recursos los naturales","","","","","","","","","","","","","","","","","","",""
"Comunidad Europea","Comunidad europea","","","","","","","","","","","","","","","","","","",""
"Visitas de estado","Visitas de Estado","","","","","","","","","","","","","","","","","","",""
"Industria farmacéutica","Industria farmaceutica","","","","","","","","","","","","","","","","","","",""
"Asistencia económica interna","Asistencia ecónomica interna","","","","","","","","","","","","","","","","","","",""
"Literatura italiana","Literatura Italiana","","","","","","","","","","","","","","","","","","",""
"Arte colonial","Arte Colonial","","","","","","","","","","","","","","","","","","",""
"Valle-Inclán, Ramón María del","Vallé-Inclán, Ramón María del","","","","","","","","","","","","","","","","","","",""
"Tipología (Lingüística)","Tipología (Linguística)","","","","","","","","","","","","","","","","","","",""
"López Velarde, Ramón","López Velarde, Ramón,","","","","","","","","","","","","","","","","","","",""
"Autonomía universitaria","Autonomia universitaria","","","","","","","","","","","","","","","","","","",""
"Mesopotamia","Mesopotamía","","","","","","","","","","","","","","","","","","",""
"Iglesia católica en Perú","Iglesia Católica en Perú","","","","","","","","","","","","","","","","","","",""
"Economía regional","Economía Regional","","","","","","","","","","","","","","","","","","",""
"Decoración y ornamentación","Decoracion y ornamentación","","","","","","","","","","","","","","","","","","",""
"Tabasco (México : Estado)","Tabasco ( México: Estado)","","","","","","","","","","","","","","","","","","",""
"Psicoterapia","Psicoterapía","","","","","","","","","","","","","","","","","","",""
"Inversiones japonesas","Inversiones Japonesas","","","","","","","","","","","","","","","","","","",""
"Franco, Francisco","Franco, Francisco,","","","","","","","","","","","","","","","","","","",""
"Democracia cristiana","Democracia cristiana ","","","","","","","","","","","","","","","","","","",""
"Delitos contra la mujer","Délitos contra la mujer","","","","","","","","","","","","","","","","","","",""
"Mixteco (Idioma)","Mixteco (idioma)","","","","","","","","","","","","","","","","","","",""
"Transparencia en el gobierno","Transparencia en el Gobierno","","","","","","","","","","","","","","","","","","",""
"Negociación","Negociacion","","","","","","","","","","","","","","","","","","",""
"Japan","Japan.","","","","","","","","","","","","","","","","","","",""
"Guerra del Golfo Pérsico, 1991","Guerra del Golfo Pérsico, 1991-","","","","","","","","","","","","","","","","","","",""
"Congo (República Democrática)","Congo (República democrática)","","","","","","","","","","","","","","","","","","",""
"Comunismo internacional","Comunismo Internacional","","","","","","","","","","","","","","","","","","",""
"Arte islámico","Arte islamico","","","","","","","","","","","","","","","","","","",""
"Violencia contra las mujeres","Violencia contra las Mujeres","","","","","","","","","","","","","","","","","","",""
"Relaciones domésticas","Relaciones domesticas","","","","","","","","","","","","","","","","","","",""
"Bulgaria","Bulgaría","","","","","","","","","","","","","","","","","","",""
"Aymarás (Indios)","Aymaras (Indios)","","","","","","","","","","","","","","","","","","",""
"Guerrero (México : Estado)","Guerrero (México :Estado)","","","","","","","","","","","","","","","","","","",""
"Arte medieval","Arte Medieval","","","","","","","","","","","","","","","","","","",""
"Patrón oro","Patron oro","","","","","","","","","","","","","","","","","","",""
"Europa Occidental","Europa occidental","","","","","","","","","","","","","","","","","","",""
"Oriente, Problema del (Extremo Oriente)","Oriente (Extremo Oriente), Problema del","","","","","","","","","","","","","","","","","","",""
"Liderazgo político","Liderazgo politico","","","","","","","","","","","","","","","","","","",""
"Islam y estado","Islam y Estado","","","","","","","","","","","","","","","","","","",""
"Castilla (España)","Castilla, España","","","","","","","","","","","","","","","","","","",""
"Banco Interamericano de Desarrollo","Banco interamericano de Desarrollo","","","","","","","","","","","","","","","","","","",""
"Allende Gossens, Salvador","Allende Gossens, Salvador,","","","","","","","","","","","","","","","","","","",""
"Poesía alemana","Poesía Alemana","","","","","","","","","","","","","","","","","","",""
"Otomí (Idioma)","Otomi (Idioma)","","","","","","","","","","","","","","","","","","",""
"Literatura venezolana","Literatura Venezolana","","","","","","","","","","","","","","","","","","",""
"Imaginación","Imaginación ","","","","","","","","","","","","","","","","","","",""
"Difusión de innovaciones","Difusion de innovaciones","","","","","","","","","","","","","","","","","","",""
"Arte renacentista","Arte Renacentista","","","","","","","","","","","","","","","","","","",""
